Experiment Schelling Stat Mech Experiment
Schelling Segregation Model with Statistical Mechanics of Opinion Diffusion.
Experiment started 2014-05-03 181206

######################################################
Experiment Defaults:
                           setNumOfRaces :,  	2
Experiment Parameter Variations:
                  setInitialOpinionSplit :,  	[0, 0.5, 1.0]
                          setSocialForce :,  	[-0.5, 0.5]
                    setSocialTemperature :,  	[0.01, 0.1, 1.0]
######################################################
*********************Job Settings*********************
                  setInitialOpinionSplit :	,0
                          setSocialForce :	,-0.5
                    setSocialTemperature :	,0.01
 timestamp, job ID, setInitialOpinionSplit, setSocialForce, setSocialTemperature, runtime, pct happy, pct same, tolerance
                    setSocialTemperature :	,0.1
 timestamp, job ID, setInitialOpinionSplit, setSocialForce, setSocialTemperature, runtime, pct happy, pct same, tolerance
 2014-05-03 182757, 5,                    0,                  0.5,                  0.1,63,90.34,79.16,0.00
 2014-05-03 182809, 5,                    0,                  0.5,                  0.1,51,91.31,79.21,0.00
 2014-05-03 182820, 5,                    0,                  0.5,                  0.1,50,91.84,78.39,0.00
 2014-05-03 182831, 5,                    0,                  0.5,                  0.1,51,90.74,80.35,0.00
 2014-05-03 182841, 5,                    0,                  0.5,                  0.1,56,91.03,81.05,0.00
 2014-05-03 182853, 5,                    0,                  0.5,                  0.1,64,89.61,79.90,0.00
 2014-05-03 182906, 5,                    0,                  0.5,                  0.1,50,90.74,79.32,0.00
 2014-05-03 182916, 5,                    0,                  0.5,                  0.1,50,90.62,80.61,0.00
 2014-05-03 182927, 5,                    0,                  0.5,                  0.1,52,91.51,81.36,0.00
 2014-05-03 182938, 5,                    0,                  0.5,                  0.1,52,89.85,78.65,0.00
 2014-05-03 182949, 5,                    0,                  0.5,                  0.1,59,90.91,81.18,0.00
 2014-05-03 183001, 5,                    0,                  0.5,                  0.1,61,89.61,80.32,0.00
 2014-05-03 183014, 5,                    0,                  0.5,                  0.1,50,89.89,78.06,0.00
 2014-05-03 183025, 5,                    0,                  0.5,                  0.1,61,90.54,79.62,0.00
 2014-05-03 183041, 5,                    0,                  0.5,                  0.1,63,90.22,81.20,0.00
 2014-05-03 183054, 5,                    0,                  0.5,                  0.1,51,90.95,78.77,0.00
 2014-05-03 183104, 5,                    0,                  0.5,                  0.1,72,91.92,80.60,0.00
 2014-05-03 183117, 5,                    0,                  0.5,                  0.1,68,91.11,80.74,0.00
 2014-05-03 183129, 5,                    0,                  0.5,                  0.1,53,90.86,81.16,0.00
 2014-05-03 183139, 5,                    0,                  0.5,                  0.1,69,90.62,79.73,0.00
averages: ,                    0,                  0.5,                  0.1,57,90.71,79.97,0.00
standard deviations: ,                    0,                  0.5,                  0.1, 7,0.65,1.01,0.00
*********************Job Settings*********************
                  setInitialOpinionSplit :	,0
                          setSocialForce :	,0.5
                    setSocialTemperature :	,1.0
 timestamp, job ID, setInitialOpinionSplit, setSocialForce, setSocialTemperature, runtime, pct happy, pct same, tolerance
 2014-05-03 183152, 6,                    0,                  0.5,                  1.0,62,90.38,80.72,0.00
 2014-05-03 183203, 6,                    0,                  0.5,                  1.0,66,91.43,80.35,0.00
 2014-05-03 183215, 6,                    0,                  0.5,                  1.0,57,90.99,80.63,0.00
 2014-05-03 183226, 6,                    0,                  0.5,                  1.0,64,90.58,80.66,0.00
 2014-05-03 183238, 6,                    0,                  0.5,                  1.0,51,90.74,79.17,0.00
 2014-05-03 183248, 6,                    0,                  0.5,                  1.0,95,90.34,80.31,0.00
 2014-05-03 183303, 6,                    0,                  0.5,                  1.0,56,90.14,78.58,0.00
 2014-05-03 183314, 6,                    0,                  0.5,                  1.0,53,90.38,79.34,0.00
 2014-05-03 183324, 6,                    0,                  0.5,                  1.0,61,90.78,79.82,0.00
 2014-05-03 183335, 6,                    0,                  0.5,                  1.0,55,90.54,80.39,0.00
 2014-05-03 183346, 6,                    0,                  0.5,                  1.0,80,90.26,81.78,0.00
 2014-05-03 183359, 6,                    0,                  0.5,                  1.0,50,91.55,79.46,0.00
 2014-05-03 183409, 6,                    0,                  0.5,                  1.0,94,90.86,79.46,0.00
 2014-05-03 183425, 6,                    0,                  0.5,                  1.0,59,90.38,79.91,0.00
 2014-05-03 183436, 6,                    0,                  0.5,                  1.0,59,89.85,78.97,0.00
 2014-05-03 183447, 6,                    0,                  0.5,                  1.0,52,90.62,79.58,0.00
 2014-05-03 183457, 6,                    0,                  0.5,                  1.0,61,90.82,80.12,0.00
 2014-05-03 183508, 6,                    0,                  0.5,                  1.0,57,91.03,80.73,0.00
