Experiment Schelling Stat Mech Experiment
Schelling Segregation Model with Statistical Mechanics of Opinion Diffusion.
Experiment started 2014-05-01 000720

######################################################
Experiment Defaults:
                           setNumOfRaces :,  	2
                    setSocialTemperature :,  	1.0
Experiment Parameter Variations:
                  setInitialOpinionSplit :,  	[0, 0.25, 0.5, 0.75, 1.0]
                          setSocialForce :,  	[-0.5, 0, 0.5]
######################################################
*********************Job Settings*********************
                  setInitialOpinionSplit :	,0
                          setSocialForce :	,-0.5
 job ID, setInitialOpinionSplit, setSocialForce, runtime, pct happy, pct same, tolerance
averages: ,                 0.75,                  0.5,51,99.13,51.55,0.93
standard deviations: ,                 0.75,                  0.5, 1,0.13,0.63,0.01
*********************Job Settings*********************
                  setInitialOpinionSplit :	,1.0
                          setSocialForce :	,-0.5
 job ID, setInitialOpinionSplit, setSocialForce, runtime, pct happy, pct same, tolerance
 13,                  1.0,                 -0.5,50,100.00,50.03,1.00
 13,                  1.0,                 -0.5,50,100.00,49.95,1.00
 13,                  1.0,                 -0.5,50,100.00,50.89,1.00
 13,                  1.0,                 -0.5,50,100.00,50.85,1.00
 13,                  1.0,                 -0.5,50,100.00,49.68,1.00
 13,                  1.0,                 -0.5,50,100.00,50.28,1.00
 13,                  1.0,                 -0.5,50,100.00,49.51,1.00
 13,                  1.0,                 -0.5,50,100.00,49.68,1.00
 13,                  1.0,                 -0.5,50,100.00,50.48,1.00
 13,                  1.0,                 -0.5,50,100.00,50.12,1.00
 13,                  1.0,                 -0.5,50,100.00,49.31,1.00
 13,                  1.0,                 -0.5,50,100.00,49.47,1.00
 13,                  1.0,                 -0.5,50,100.00,49.34,1.00
 13,                  1.0,                 -0.5,50,100.00,50.17,1.00
 13,                  1.0,                 -0.5,50,100.00,50.53,1.00
 13,                  1.0,                 -0.5,50,100.00,50.09,1.00
 13,                  1.0,                 -0.5,50,100.00,50.27,1.00
 13,                  1.0,                 -0.5,50,100.00,49.89,1.00
 13,                  1.0,                 -0.5,50,100.00,49.97,1.00
 13,                  1.0,                 -0.5,50,100.00,49.91,1.00
averages: ,                  1.0,                 -0.5,50,100.00,50.02,1.00
standard deviations: ,                  1.0,                 -0.5, 0,0.00,0.44,0.00
*********************Job Settings*********************
                  setInitialOpinionSplit :	,1.0
                          setSocialForce :	,0
 job ID, setInitialOpinionSplit, setSocialForce, runtime, pct happy, pct same, tolerance
 14,                  1.0,                    0,50,100.00,50.26,1.00
 14,                  1.0,                    0,50,100.00,49.36,1.00
 14,                  1.0,                    0,50,100.00,50.16,1.00
 14,                  1.0,                    0,50,100.00,49.30,1.00
 14,                  1.0,                    0,50,100.00,49.82,1.00
 14,                  1.0,                    0,50,100.00,49.56,1.00
 14,                  1.0,                    0,50,100.00,50.60,1.00
 14,                  1.0,                    0,50,100.00,50.28,1.00
 14,                  1.0,                    0,50,100.00,50.05,1.00
 14,                  1.0,                    0,50,100.00,49.61,1.00
 14,                  1.0,                    0,50,100.00,50.04,1.00
 14,                  1.0,                    0,50,100.00,49.51,1.00
 14,                  1.0,                    0,50,100.00,49.95,1.00
 14,                  1.0,                    0,50,100.00,49.49,1.00
 14,                  1.0,                    0,50,100.00,50.07,1.00
 14,                  1.0,                    0,50,100.00,49.30,1.00
